Companies listed on the New York Stock Exchange (A)


# Companies listed on the New York Stock Exchange (A)



## Companies listed on the New York Stock Exchange


## A

| Stock name | Symbol | Country of origin |
| --- | --- | --- |
| A. O. Smith Corporation | AOS | US |
| A10 Networks, Inc. | ATEN | US |
| AAC Holdings Inc. | AAC | US |
| AAR Corporation | AIR | US |
| Aaron's Inc. | AAN | US |
| ABB LTD. | ABB | Switzerland |
| Abbott Laboratories | ABT | US |
| AbbVie Inc. | ABBV | US |
| Abercrombie & Fitch | ANF | US |
| Aberdeen Greater China Fund, Inc. | GCH | US |
| Aberdeen Japan Equity Fund, Inc. | JEQ | US |
| Aberdeen Singapore Fund, Inc. | SGF | US |
| ABM Industries Incorporated | ABM | US |
| Acadia Realty Trust | AKR | US |
| Accenture plc | ACN | Ireland |
| ACCO Brands Corporation | ACCO | US |
| Acorn International, Inc. | ATV | China |
| Actuant Corporation | ATU | US |
| Acushnet Holdings Corp. | GOLF | US |
| Acuity Brands, Inc. | AYI | US |
| Adams Express Company | ADX | US |
| Adecoagro S.A. | AGRO | Argentina |
| Adeptus Health Inc. | ADPT | US |
| Adient Plc | ADNT | Ireland |
| Advance Auto Parts, Inc. | AAP | US |
| Advanced Disposal Services Inc. | ADSW | US |
| Advanced Drainage Systems Inc. | WMS | US |
| Advanced Semiconductor Engineering, Inc. | ASX | Taiwan |
| AdvancePierre Food Holdings Inc. | APFH | US |
| AdvanSix Inc. | ASIX | US |
| Advantage Oil & Gas Ltd. | AAV | Canada |
| Advent Claymore Convertible Securities and Income Fund | AVK | US |
| Advent Claymore Convertible Securities and Income Fund II | AGC | US |
| Advent Claymore Enhanced Growth & Income Fund | LCM | US |
| AECOM Technology Corporation | ACM | US |
| Aegean Marine Petroleum Network Inc. | ANW | Greece |
| Aegon N.V. | AEG | Netherlands |
| Aegon N.V. | AEB | Netherlands |
| Aegon N.V. | AED | Netherlands |
| Aegon N.V. | AEH | Netherlands |
| Aegon N.V. | AEK | Netherlands |
| AerCap Holdings N.V. | AER | Ireland |
| Aerohive Networks, Inc. | HIVE | US |
| Aerojet Rocketdyne Holdings Inc. | AJRD | US |
| The AES Corporation | AES | US |
| AES Trust III | AES.PRC | US |
| Aetna Inc. | AET | US |
| Affiliated Managers Group | AMG | US |
| Affiliated Managers Group | MGR | US |
| AFLAC Incorporated | AFL | US |
| AFLAC Incorporated | AFSD | US |
| AG Mortgage Investment Trust, Inc. | MITT | US |
| AG Mortgage Investment Trust, Inc. | MITT.PRA | US |
| AG Mortgage Investment Trust, Inc. | MITT.PRB | US |
| Agco Corporation | AGCO | US |
| Agilent Technologies Inc. | A | US |
| Agnico Eagle Mines Limited | AEM | Canada |
| Agree Realty Corporation | ADC | US |
| Agrium Inc. | AGU | Canada |
| A.H. Belo Corporation | AHC | US |
| Air Lease Corporation | AL | US |
| Air Products and Chemicals, Inc. | APD | US |
| Aircastle Limited | AYR | US |
| AK Steel Holding Corp | AKS | US |
| Alabama Power Company | ALP.PRO | US |
| Alamo Group Inc. | ALG | US |
| Alamos Gold Inc. | AGI | US |
| Alaska Air Group, Inc. | ALK | US |
| Albany International Corp | AIN | US |
| Albemarle Corporation | ALB | US |
| Alcoa, Inc. | AA | US |
| Alere Inc. | ALR | US |
| Alere Inc. | ALR.PRB | US |
| Alexander & Baldwin, Inc. | ALEX | US |
| Alexanders Inc. | ALX | US |
| Alexandria Real Estate Equities Inc. | ARE | US |
| Alexandria Real Estate Equities Inc. | ARE.PRD | US |
| Alexandria Real Estate Equities Inc. | ARE.PRE | US |
| Algonquin Power & Utilities Corp. | AQN | Canada |
| Alibaba Group Holding Ltd. | BABA | China |
| Alleghany Corporation | Y | US |
| Allegheny Technologies Incorporated | ATI | US |
| Allegion Public Limited Company | ALLE | Ireland |
| Allergan Inc. | AGN | Ireland |
| Allergan Inc. | AGN.PRA | Ireland |
| ALLETE, Inc. | ALE | US |
| Alliance California Municipal Income Fund, Inc. | AKP | US |
| Alliance Data Systems Corporation | ADS | US |
| Alliance One International, Inc. | AOI | US |
| AllianceBernstein Global High Income Fund, Inc. | AWF | US |
| AllianceBernstein Holding L.P. | AB | US |
| AllianceBernstein National Municipal Income Fund, Inc. | AFB | US |
| Alliant Energy Corporation | LNT | US |
| AllianzGI Convertible & Income Fund | NCV | US |
| AllianzGI Convertible & Income Fund II | NCZ | US |
| AllianzGI Equity & Convertible Income Fund | NIE | US |
| AllianzGI NFJ Dividend, Interest & Premium Strategy Fund | NFJ | US |
| Allied Capital Corporation | AFC | US |
| Allied World Assurance Company Holdings, AG | AWH | Switzerland |
| Allison Transmission Holdings, Inc. | ALSN | US |
| Allstate Corporation | ALL | US |
| Allstate Corporation | ALL.PRA | US |
| Allstate Corporation | ALL.PRB | US |
| Allstate Corporation | ALL.PRC | US |
| Allstate Corporation | ALL.PRD | US |
| Allstate Corporation | ALL.PRE | US |
| Allstate Corporation | ALL.PRF | US |
| Ally Financial Inc. | ALLY | US |
| Alon USA Energy, Inc. | ALJ | US |
| Alon USA Partners, LP | ALDW | US |
| Alpine Global Dynamic Dividend Fund | AGD | US |
| Alpine Global Premier Properties Fund | AWP | US |
| Alpine Total Dynamic Dividend Fund | AOD | US |
| Altisource Residential Corporation | RESI | US |
| Altria Group, Inc. | MO | US |
| Aluminum Corporation of China Ltd | ACH | China |
| Amber Road, Inc. | AMBR | US |
| Ambev S.A. | ABEV | Brazil |
| AMC Entertainment Holdings, Inc. | AMC | US |
| Amec Foster Wheeler PLC | AMFW | United Kingdom |
| Ameren Corporation | AEE | US |
| Ameresco, Inc. | AMRC | US |
| American Assets Trust, Inc. | AAT | US |
| American Axle & Manufacturing Holdings, Inc. | AXL | US |
| American Campus Communities, Inc. | ACC | US |
| American Eagle Outfitters, Inc. | AEO | US |
| American Electric Power Company | AEP | US |
| American Equity Investment Life Holding Company | AEL | US |
| American Express Company | AXP | US |
| American Financial Group Inc. | AFG | US |
| American Financial Group Inc. | AFA | US |
| American Financial Group Inc. | AFW | US |
| American Homes 4 Rent | AMH | US |
| American Homes 4 Rent | AMH.PRA | US |
| American Homes 4 Rent | AMH.PRB | US |
| American Homes 4 Rent | AMH.PRC | US |
| American Homes 4 Rent | AMH.PRD | US |
| American Homes 4 Rent | AMH.PRE | US |
| American International Group Inc | AIG | US |
| American International Group Inc | AIG.WS | US |
| American Midstream Partners, LP | AMID | US |
| American Realty Investors, Inc. | ARL | US |
| American Renal Associates Holdings Inc. | ARA | US |
| American States Water Co. | AWR | US |
| American Tower Corporation | AMT | US |
| American Tower Corporation | AMT.PRA | US |
| American Tower Corporation | AMT.PRB | US |
| American Vanguard Corporation | AVD | US |
| American Water Works Company, Inc. | AWK | US |
| Amerigas Partners lp | APU | US |
| Ameriprise Financial, Inc. | AMP | US |
| AmerisourceBergen Corporation | ABC | US |
| Ametek Inc. | AME | US |
| Amira Nature Foods Ltd | ANFI | United Arab Emirates |
| AMN Healthcare Services, Inc. | AMN | US |
| Ampco-Pittsburgh Corporation | AP | US |
| Amphenol Corporation | APH | US |
| Amplify Snack Brands Inc. | BETR | US |
| AMREP Corporation | AXR | US |
| AmTrust Financial Services, Inc. | AFSI.PRA | US |
| AmTrust Financial Services, Inc. | AFSI.PRB | US |
| AmTrust Financial Services, Inc. | AFSI.PRC | US |
| AmTrust Financial Services, Inc. | AFSI.PRD | US |
| AmTrust Financial Services, Inc. | AFSI.PRE | US |
| AmTrust Financial Services, Inc. | AFSI.PRF | US |
| América Móvil S.A.B de C.V. | AMX | Mexico |
| América Móvil S.A.B de C.V. | AMOV | Mexico |
| AngloGold Ashanti Limited | AU | South Africa |
| Anheuser-Busch Inbev SA/NV | BUD | Belgium |
| Anixter International Inc. | AXE | US |
| Annaly Capital Management, Inc. | NLY | US |
| Annaly Capital Management, Inc. | NLY.PRA | US |
| Annaly Capital Management, Inc. | NLY.PRC | US |
| Annaly Capital Management, Inc. | NLY.PRD | US |
| Annaly Capital Management, Inc. | NLY.PRE | US |
| Antero Resources Corporation | AR | US |
| Antero Midstream Partners LP | AM | US |
| Anthem Inc. | ANTM | US |
| Anthem Inc. | ANTX | US |
| Anworth Mortgage Asset Corporation | ANH | US |
| Anworth Mortgage Asset Corporation | ANH.PRA | US |
| Anworth Mortgage Asset Corporation | ANH.PRB | US |
| Anworth Mortgage Asset Corporation | ANH.PRC | US |
| Aon Corporation | AON | United Kingdom |
| APA Corporation | APA | US |
| Apartment Investment & Management Company | AIV | US |
| Apartment Investment & Management Company | AIV.PRA | US |
| Apollo Commercial Real Estate Finance, Inc. | ARI | US |
| Apollo Commercial Real Estate Finance, Inc. | ARI.PRA | US |
| Apollo Commercial Real Estate Finance, Inc. | ARI.PRC | US |
| Apollo Global Management, LLC | APO | US |
| Apollo Investment Corporation | AIB | US |
| Apollo Investment Corporation | AIY | US |
| Apollo Senior Floating Rate Fund Inc. | AFT | US |
