List of companies listed on the Oslo Stock Exchange


# List of companies listed on the Oslo Stock Exchange



The **Oslo Stock Exchange** (Norwegian: Oslo Børs) serves as the main market for trading in the shares of Norwegian companies. It opens at 9:00am and closes 4:30pm local time (CET). In addition to a wide range of domestic companies, the OSE attracts a lot of international companies within petroleum, shipping and other related areas.

The stock exchanged opened in April 1819 (as Christiania Børs), but didn't list stocks and shares until 1 March 1881. The first list of prices showed 23 shares. From 1920 to 1936, whaling shares accounted for about 50% of total turnover.

In addition to Norwegian and foreign companies with shares listed on Oslo Stock Exchange, the list also includes equity certificates issued by Norwegian savings banks. The difference between shares and equity certificates is connected to the ownership of the company's assets and leverage in the administrative bodies of the banks.


## Currently listed companies

| \* | Denotes equity certificate issued by savings bank |
| --- | --- |

| Company | Ticker | First day of listing | GICS Industry |
| --- | --- | --- | --- |
| ABG Sundal Collier | OSE: ABG | 4 July 1991 | Investment Banking & Brokerage |
| AF Group | OSE: AFG | 8 September 1997 | Construction & Engineering |
| Akastor | OSE: AKA | 2 April 2004 | Oil & Gas Equipment & Services |
| Aker | OSE: AKER | 8 September 2004 | Multi-Sector Holdings |
| Aker BP | OSE: AKERBP | 23 December 2009 | Oil & Gas Exploration & Production |
| Aker Solutions | OSE: AKSO | 29 September 2014 | Oil & Gas Equipment & Services |
| AKVA Group | OSE: AKVA | 10 November 2006 | Industrial Machinery |
| American Shipping Company | OSE: AMSC | 11 July 2005 | Marine |
| Carasent | OSE: CARA | 8 April 2002 | Application Software |
| Aqualis | OSE: AQUA | 13 August 2014 | Oil & Gas Equipment & Services |
| Archer | OSE: ARCHER | 26 November 2010 | Oil & Gas Drilling |
| Arcus | OSE: ARCUS | 1 December 2016 | Distillers & Vintners |
| Arendals Fossekompani | OSE: AFK | 15 July 1991 | Independent Power Producers & Energy Traders |
| Asetek | OSE: ASETEK | 20 March 2013 | Technology Hardware, Storage & Peripherals |
| Atea | OSE: ATEA | 28 March 1985 | IT Consulting & Other Services |
| Atlantic Petroleum | OSE: ATLA-NOK | 12 December 2013 | Oil & Gas Exploration & Production |
| Aurskog Sparebank\* | OSE: AURG | 12 August 1998 | Regional Banks |
| Austevoll Seafood | OSE: AUSS | 11 October 2006 | Packaged Foods & Meats |
| Avance Gas Holding | OSE: AVANCE | 15 April 2014 | Oil & Gas Storage & Transportation |
| Awilco Drilling | OSE: AWDR | 4 September 2018 | Oil & Gas Drilling |
| Axactor | OSE: ACR | 21 November 1997 | Specialized Finance |
| B2Impact | OSE: B2I | 8 June 2016 | Specialized Finance |
| Bakkafrost | OSE: BAKKA | 26 March 2010 | Packaged Foods & Meats |
| Belships | OSE: BEL | 2 January 1939 | Marine |
| Endúr | OSE: ENDUR | 30 June 2008 | Industrial Conglomerates |
| BerGenBio | OSE: BGBIO | 7 April 2017 | Biotechnology |
| Biotec Pharmacon | OSE: BIOTEC | 4 November 2005 | Biotechnology |
| Bonheur | OSE: BON | 2 January 1920 | Industrial Conglomerates |
| Borgestad | OSE: BOR | 2 January 1920 | Real Estate Operating Companies |
| Borr Drilling | OSE: BDRILL | 30 August 2017 | Oil and Gas Drilling |
| Borregaard | OSE: BRG | 18 October 2012 | Specialty Chemicals |
| Bouvet ASA | OSE: BOUVET | 30 November 2010 | IT Consulting & Other Services |
| BW LPG | OSE: BWLPG | 21 November 2013 | Oil & Gas Storage & Transportation |
| BW Offshore Limited | OSE: BWO | 31 May 2006 | Oil & Gas Storage & Transportation |
| Byggma | OSE: BMA | 27 August 1997 | Building Products |
| ContextVision | OSE: COV | 17 March 1997 | Health Care Technology |
| Crayon Group Holding | OSE: CRAYON | 8 November 2017 | System Software |
| Data Respons | OSE: DAT | 1 December 1997 | IT Consulting & Other Services |
| DNB ASA | OSE: DNB | 17 August 1992 | Diversified Banks |
| DNO International | OSE: DNO | 16 November 1981 | Oil & Gas Exploration & Production |
| DOF ASA | OSE: DOF | 4 October 2000 | Oil & Gas Equipment & Services |
| Eidesvik Offshore | OSE: EIOF | 27 June 2005 | Oil & Gas Equipment & Services |
| Elkem | OSE: ELK | 22 March 2018 | Specialty Chemicals |
| Electromagnetic Geoservices | OSE: EMGS | 30 March 2007 | Oil & Gas Equipment & Services |
| Entra | OSE: ENTRA | 17 October 2014 | Real Estate Operating Companies |
| Equinor | OSE: EQNR | 18 June 2001 | Integrated Oil & Gas |
| Europris | OSE: EPR | 19 June 2015 | General Merchandise Stores |
| Evry | OSE: EVRY | 21 June 2017 | IT Consulting & Other Services |
| Fjord1 | OSE: FJORD | 15 August 2017 | Marine |
| Fjordkraft Holding | OSE: FKRAFT | 21 March 2018 | Electric Utilities |
| FLEX LNG | OSE: FLNG | 18 July 2017 | Oil & Gas Storage & Transportation |
| Frontline Ltd. | OSE: FRO | 9 November 1998 | Marine |
