List of countries by real GDP growth rate


# List of countries by real GDP growth rate



This article includes lists of countries and dependent territories sorted by their real gross domestic product growth rate; the rate of growth of the total value of all final goods and services produced within a state in a given year compared with the previous year. The figures are from the International Monetary Fund (IMF) World Economic Outlook Database, unless otherwise specified.

This list is not to be confused with the list of countries by real GDP per capita growth, which is the percentage change of GDP per person taking into account the changing population of the country. List of countries by GNI per capita growth measures changes in gross national income per capita.


## List (2024)

As referenced in the introductory paragraph, the figures in the following list are from the International Monetary Fund World Economic Outlook Database (2024) unless otherwise specified.


### Growth by countries and regions

| Country | Rate [%] |
| --- | --- |
| Afghanistan |
| Albania | 3.3 |
| Algeria | 3.8 |
| Andorra | 1.4 |
| Angola | 2.4 |
| Antigua and Barbuda | 5.8 |
| Argentina | -2.8 |
| Armenia | 6.0 |
| Aruba | 5.5 |
| Australia | 1.2 |
| Austria | -0.6 |
| Azerbaijan | 3.2 |
| Bahamas | 1.9 |
| Bahrain | 3.0 |
| Bangladesh | 5.4 |
| Barbados | 3.9 |
| Belarus | 3.6 |
| Belgium | 1.1 |
| Belize | 5.4 |
| Benin | 6.5 |
| Bhutan | 5.2 |
| Bolivia | 1.6 |
| Bosnia and Herzegovina | 2.5 |
| Botswana | 1.0 |
| Brazil | 3.7 |
| Brunei | 2.4 |
| Bulgaria | 2.3 |
| Burkina Faso | 5.5 |
| Burundi | 2.2 |
| Cabo Verde | 4.7 |
| Cambodia | 5.5 |
| Cameroon | 3.9 |
| Canada | 1.3 |
| Central African Republic | 1.4 |
| Chad | 3.2 |
| Chile | 2.5 |
| China | 4.8 |
| Colombia | 1.6 |
| Comoros | 3.5 |
| Costa Rica | 4.0 |
| Croatia | 3.4 |
| Cuba |
| Cyprus | 3.3 |
| Czech Republic | 1.1 |
| Denmark | 1.9 |
| Djibouti | 6.5 |
| Dominica | 4.6 |
| Dominican Republic | 5.1 |
| DR Congo | 4.7 |
| East Timor | 3.0 |
| Ecuador | 0.3 |
| Egypt | 2.4 |
| El Salvador | 3.0 |
| Equatorial Guinea | 5.8 |
| Eritrea |
| Estonia | -0.9 |
| Eswatini | 4.6 |
| Ethiopia | 6.1 |
| Fiji | 3.0 |
| Finland | -0.2 |
| France | 1.1 |
| Gabon | 3.1 |
| Gambia | 5.8 |
| Georgia | 7.6 |
| Germany | -0.2 |
| Ghana | 3.1 |
| Greece | 2.3 |
| Grenada | 3.0 |
| Guatemala | 3.5 |
| Guinea | 4.1 |
| Guinea-Bissau | 5.0 |
| Guyana | 43.8 |
| Haiti | -4.0 |
| Honduras | 3.6 |
| Hong Kong | 3.2 |
| Hungary | 1.5 |
| Iceland | 0.6 |
| India | 6.5 |
| Indonesia | 5.0 |
| Iran | 3.7 |
| Iraq | 0.1 |
| Ireland | -0.2 |
| Israel | 0.7 |
| Italy | 0.6 |
| Ivory Coast | 6.5 |
| Jamaica | 1.3 |
| Japan | -0.2 |
| Jordan | 2.4 |
| Kazakhstan | 4.0 |
| Kenya | 5.0 |
| Kiribati | 5.8 |
| Kosovo | 3.8 |
| Kuwait | -2.7 |
| Kyrgyzstan | 6.5 |
| Laos | 4.1 |
| Latvia | 1.2 |
| Lebanon |
| Lesotho | 2.8 |
| Liberia | 5.1 |
| Libya | 2.4 |
| Liechtenstein |
| Lithuania | 2.4 |
| Luxembourg | 1.3 |
| Macao | 10.6 |
| Madagascar | 4.5 |
| Malawi | 1.8 |
| Malaysia | 5.0 |
| Maldives | 4.7 |
| Mali | 3.8 |
| Malta | 5.0 |
| Marshall Islands | 5.0 |
| Mauritania | 4.4 |
| Mauritius | 6.1 |
| Mexico | 1.8 |
| Micronesia | 1.1 |
| Moldova | 2.6 |
| Monaco |
| Mongolia | 5.5 |
| Montenegro | 3.7 |
| Morocco | 2.8 |
| Mozambique | 4.3 |
| Myanmar | 1.0 |
| Namibia | 3.1 |
| Nauru | 1.5 |
| Nepal | 3.1 |
| Netherlands | 0.9 |
| New Zealand | 0.0 |
| Nicaragua | 4.0 |
| Niger | 9.9 |
| Nigeria | 3.1 |
| North Korea |
| North Macedonia | 2.2 |
| Norway | 1.5 |
| Oman | 1.0 |
| Pakistan | 2.5 |
| Palau | 8.1 |
| Palestine |
| Panama | 2.5 |
| Papua New Guinea | 4.6 |
| Paraguay | 3.8 |
| Peru | 3.0 |
| Philippines | 5.8 |
| Poland | 2.8 |
| Portugal | 1.9 |
| Puerto Rico | 1.0 |
| Qatar | 1.5 |
| Republic of the Congo | 2.8 |
| Romania | 1.9 |
| Russia | 3.8 |
| Rwanda | 7.0 |
| Saint Kitts and Nevis | 4.4 |
| Saint Lucia | 3.9 |
| Saint Vincent and the Grenadines | 4.5 |
| Samoa | 9.7 |
| San Marino | 0.7 |
| São Tomé and Príncipe | 1.1 |
| Saudi Arabia | 1.4 |
| Senegal | 6.0 |
| Serbia | 3.9 |
| Seychelles | 3.1 |
| Sierra Leone | 4.0 |
| Singapore | 2.6 |
| Slovak Republic | 2.2 |
| Slovenia | 1.5 |
| Solomon Islands | 2.3 |
| Somalia | 4.0 |
| South Africa | 0.8 |
| South Korea | 2.2 |
| South Sudan | -26.4 |
| Spain | 3.1 |
| Sri Lanka |
| Sudan | -20.3 |
| Suriname | 3.0 |
| Sweden | 0.9 |
| Switzerland | 1.3 |
| Syria |
| Taiwan | 3.7 |
| Tajikistan | 6.8 |
| Tanzania | 5.4 |
| Thailand | 2.7 |
| Togo | 5.3 |
| Tonga | 1.8 |
| Trinidad and Tobago | 1.6 |
| Tunisia | 1.6 |
| Turkey | 2.8 |
| Turkmenistan | 2.3 |
| Tuvalu | 3.5 |
| Uganda | 5.9 |
| Ukraine | 3.0 |
| United Arab Emirates | 4.0 |
| United Kingdom | 0.9 |
| United States | 2.8 |
| Uruguay | 3.2 |
