Financial and social rankings of sovereign states in Europe


# Financial and social rankings of sovereign states in Europe



This page compares the sovereign states of Europe on economic, financial and social indicators.


## Definition of Europe

For the purposes of comparison the broader definition of Europe will be used. A sovereign state must meet at least one of the following criteria to be included:

* Be a recognised European state by the United Nations geoscheme for Europe
* Be a member state of the European Union
* Be a member state of the Eurozone
* Be a member state of the Council of Europe

## Economic


### Countries by GDP (nominal)

Data provided is by the International Monetary Fund (2021)

| Rank | Country | GDP (millions of US$) |
| --- | --- | --- |
| 1 | Germany | 4,200,000 |
| 2 | United Kingdom | 3,400,000 |
| 3 | France | 3,100,000 |
| 4 | Italy | 1,886,000 |
| 5 | Russia | 1,483,000 |
| 6 | Spain | 1,281,000 |
| 7 | Netherlands | 912,806 |
| 8 | Switzerland | 748,000 |
| 9 | Turkey | 720,100 |
| 11 | Poland | 594,200 |
| 12 | Sweden | 537,600 |
| 13 | Belgium | 515,300 |
| 14 | Austria | 429,000 |
| 15 | Ireland | 418,600 |
| 16 | Norway | 362,000 |
| 17 | Denmark | 355,200 |
| 18 | Czech Republic | 282,300 |
| 19 | Finland | 271,200 |
| 20 | Romania | 248,700 |
| 21 | Portugal | 231,300 |
| 22 | Greece | 189,400 |
| 23 | Ukraine | 155,600 |
| 24 | Hungary | 155,260 |
| 25 | Slovakia | 104,600 |
| 26 | Luxembourg | 73,260 |
| 27 | Bulgaria | 69,110 |
| 28 | Belarus | 60,260 |
| 29 | Croatia | 55,970 |
| 30 | Lithuania | 55,890 |
| 31 | Serbia | 52,960 |
| 32 | Slovenia | 52,880 |
| 33 | Azerbaijan | 42,610 |
| 34 | Latvia | 33,510 |
| 35 | Estonia | 31,030 |
| 36 | Cyprus | 23,800 |
| 37 | Iceland | 21,710 |
| 38 | Bosnia and Herzegovina | 19,790 |
| 39 | Georgia | 15,890 |
| 40 | Albania | 14,800 |
| 41 | Malta | 14,650 |
| 42 | Armenia | 12,650 |
| 43 | North Macedonia | 12,270 |
| 44 | Moldova | 11,910 |
| 45 | Monaco | 7,424 |
| 46 | Liechtenstein | 6,839 |
| 48 | Montenegro | 4,779 |
| 49 | Andorra | 3,155 |
| 50 | San Marino | 1,616 |


### GDP growth rate

The real GDP growth rates provided are the 2015 estimates (unless otherwise indicated) as recorded in the CIA World Factbook.

| Rank | Country | Real GDP growth rate (%) |
| --- | --- | --- |
| 1 | Monaco | 9.30 (2013 est.) |
| 2 | Ireland | 7.80 |
| 3 | Malta | 5.40 |
| 4 | Luxembourg | 4.50 |
| 5 | Czech Republic | 4.20 |
| 6 | Montenegro | 4.10 |
| 7 | Sweden | 4.10 |
| 8 | Iceland | 4.00 |
