List of ministers of economy (Austria)


# List of ministers of economy (Austria)



The **minister of digital and economic affairs** of Austria heads the Ministry of Digital and Economic Affairs.


## Ministers


### Cisleithania


### First Republic

| № | Portrait | Name (Born-Died) | Term | | | Political Party | Government |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Took office | Left office | Duration |
| 9 | | Steger, Norbert**Robert Graf [de]** (1929–1996) | 1 April 1987 | 24 April 1989 | 2 years, 23 days | ÖVP | Vranitzky II Cabinet |
| 10 | | Schüssel, Wolfgang**Wolfgang Schüssel** (born 1945) | 24 April 1989 | 4 May 1995 | 6 years, 10 days | ÖVP | Vranitzky II Cabinet–II–III |
| 11 | | Ditz, Johannes**Johannes Ditz [de]** (born 1951) | 4 May 1995 | 19 July 1996 | 1 year, 76 days | ÖVP | Vranitzky IV Cabinet–II |
| 12 | | Farnleitner, Johann**Johann Farnleitner [de]** (born 1939) | 19 July 1996 | 4 February 2000 | 3 years, 200 days | ÖVP | Vranitzky V Cabinet Klima Cabinet |
| 13 | | Bartenstein, Martin**Martin Bartenstein** (born 1953) | 4 February 2000 | 1 April 2000 | 57 days | ÖVP | Schüssel I Cabinet |
| Ministry of Economy and Labor (*Bundesministerium für Wirtschaft und Arbeit*) | | | | | | | |
| 13 | | Bartenstein, Martin**Martin Bartenstein** (born 1953) | 1 April 2000 | 2 December 2008 | 8 years, 245 days | ÖVP | Schüssel I Cabinet–II Gusenbauer Cabinet |
| 14 | | Mitterlehner, Reinhold**Reinhold Mitterlehner** (born 1955) | 2 December 2008 | 1 February 2009 | 61 days | ÖVP | Faymann I Cabinet |
| Ministry of Economy, the Family and Youth (*Bundesministerium für Wirtschaft, Familie und Jugend*) | | | | | | | |
| 14 | | Mitterlehner, Reinhold**Reinhold Mitterlehner** (born 1955) | 1 February 2009 | 1 March 2014 | 5 years, 28 days | ÖVP | Faymann I Cabinet–II |
| Ministry of Science, Research and Economy (*Bundesministerium für Wissenschaft, Forschung und Wirtschaft*) | | | | | | | |
| 14 | | Mitterlehner, Reinhold**Reinhold Mitterlehner** (born 1955) | 1 March 2014 | 17 May 2016 | 2 years, 77 days | ÖVP | Faymann II Cabinet |
| 15 | | Mahrer, Harald**Harald Mahrer [de]** (born 1973) | 17 May 2016 | 18 December 2017 | 1 year, 215 days | ÖVP | Kern Cabinet |
| 16 | | Schramböck, Margarete**Margarete Schramböck** (born 1970) | 18 December 2017 | 8 January 2018 | 21 days | ÖVP | Kurz I Cabinet |
| Ministry of Digital and Economic Affairs (*Bundesministerium für Digitalisierung und Wirtschaft*) | | | | | | | |
| 16 | | Schramböck, Margarete**Margarete Schramböck** (born 1970) | 8 January 2018 | 3 June 2019 | 1 year, 146 days | ÖVP | Kurz I Cabinet |
| 17 | | Udolf, Elisabeth**Elisabeth Udolf-Strobl** (born 1956) | 3 June 2019 | 7 January 2020 | 218 days | Independent | Bierlein Cabinet |
| (16) | | Schramböck, Margarete**Margarete Schramböck** (born 1970) | 7 January 2020 | 11 May 2022 | 5 years, 9 days | ÖVP | Kurz II Cabinet Schallenberg Cabinet Nehammer Cabinet |
| 18 | | Kocher, Martin**Martin Kocher** (born 1973) | 11 May 2022 | *Incumbent* | 2 years, 250 days | ÖVP | Nehammer Cabinet |

