List of sovereign states by freshwater withdrawal


# List of sovereign states by freshwater withdrawal



This is the **list of countries by freshwater withdrawal** for the year 2020, based on the latest data available in January 2024, by World Bank and Food and Agriculture Organization (AQUASTAT data). The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1.

According to World Bank, ″annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.″

The level of water stress (freshwater withdrawal as a proportion of available freshwater resources) is the ratio between total freshwater withdrawn by all major sectors and total renewable freshwater resources, after taking into account environmental water requirements. Main sectors, as defined by ISIC standards, include agriculture; forestry and fishing; manufacturing; electricity industry; and services. This indicator is also known as *water withdrawal intensity*.

According to Food and Agriculture Organization, ″total freshwater withdrawal is the sum of surface water withdrawal and groundwater withdrawal″.

> *[Total freshwater withdrawal (surface water + groundwater)] = [Total water withdrawal] - [Desalinated water produced] - [Treated wastewater reused] - [Reused agricultural drainage water]*


## List of countries by freshwater withdrawal

The following table provides information on annual freshwater withdrawal based on data published by World Bank and Food and Agriculture Organization. Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

| Country/Territory/Region/Group | Annual freshwater withdrawals | | | | | Per capita withdrawal | Withdrawal intensity |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Total | | Domestic | Industry | Agriculture |
| (mil. m³) | (%) | (%) | (%) | (%) | (m³/inhab/year) | (%) |
| Afghanistan | 20282.0 | 43.02% | 1.00% | 0.83% | 98.17% | 523.34 | 54.76% |
| Angola | 705.7 | 0.48% | 45.27% | 33.95% | 20.78% | 21.47 | 1.87% |
| Albania | 786.0 | 2.92% | 28.63% | 2.04% | 69.34% | 273.13 | 4.72% |
| United Arab Emirates | 2381.0 | 1587.33% | 52.76% | 0.74% | 46.50% | 124.03 | 1 587.33% |
| Argentina | 37690.0 | 12.91% | 15.48% | 10.59% | 73.93% | 835.92 | 10.46% |
| Armenia | 2830.0 | 41.26% | 23.08% | 6.57% | 70.34% | 954.70 | 57.09% |
| Antigua and Barbuda | 4.4 | 8.46% | 62.61% | 21.74% | 15.65% | 117.43 | 8.46% |
| Australia | 8640.0 | 1.76% | 16.64% | 21.04% | 62.32% | 539.02 | 3.47% |
| Austria | 3490.0 | 6.35% | 20.62% | 77.17% | 2.21% | 387.74 | 9.64% |
| Azerbaijan | 12590.0 | 155.14% | 3.16% | 4.51% | 92.33% | 1240.63 | 55.60% |
| Burundi | 280.1 | 2.78% | 15.39% | 5.36% | 79.26% | 23.56 | 10.19% |
| Belgium | 4199.0 | 34.99% | 17.33% | 81.39% | 1.27% | 367.86 | 51.58% |
| Benin | 130.0 | 1.26% | 61.97% | 12.82% | 25.21% | 19.30 | 0.98% |
